id,codexid,cote,element,theme
38300,47,E_11_08,calli,05.01.01
38301,47,E_11_08,matlalin,08.01.08
38302,47,E_11_09,tochtli,02.02.08
38303,47,E_11_09,matlalin,08.01.08
38304,47,E_11_09,xihuitl_4,06.01.04
38305,47,E_11_09,ce,06.01.01
38306,47,E_11_10,xihuitl_4,06.01.04
38307,47,E_11_10,ce,06.01.01
38308,47,E_11_10,acatl,03.02.05
38309,47,E_11_10,matlalin,08.01.08
38310,47,E_11_10,tlalpilli,05.12.08
38311,47,E_11_11,xihuitl_4,06.01.04
38312,47,E_11_11,ce,06.01.01
38313,47,E_11_11,tecpatl,04.04.08
38314,47,E_11_11,matlalin,08.01.08
38315,47,E_11_12,xihuitl_4,06.01.04
38316,47,E_11_12,ce,06.01.01
38317,47,E_11_12,calli,05.01.01
38318,47,E_11_12,matlalin,08.01.08
38319,47,E_11_13,xihuitl_4,06.01.04
38320,47,E_11_13,ce,06.01.01
38321,47,E_11_13,tochtli,02.02.08
38322,47,E_11_13,matlalin,08.01.08
38323,47,E_11_14,xihuitl_4,06.01.04
38324,47,E_11_14,ce,06.01.01
38325,47,E_11_14,acatl,03.02.05
38326,47,E_11_14,matlalin,08.01.08
38327,47,E_11_15,xihuitl_4,06.01.04
38328,47,E_11_15,ce,06.01.01
38329,47,E_11_15,tecpatl,04.04.08
38330,47,E_11_15,matlalin,08.01.08
38331,47,E_11_16,xihuitl_4,06.01.04
38332,47,E_11_16,ce,06.01.01
38333,47,E_11_16,calli,05.01.01
38334,47,E_11_16,matlalin,08.01.08
38335,47,E_11_17,xihuitl_4,06.01.04
38336,47,E_11_17,ce,06.01.01
38337,47,E_11_17,tochtli,02.02.08
38338,47,E_11_17,matlalin,08.01.08
38339,47,E_11_18,xihuitl_4,06.01.04
38340,47,E_11_18,ce,06.01.01
38341,47,E_11_18,acatl,03.02.05
38342,47,E_11_18,matlalin,08.01.08
38343,47,E_11_19,xihuitl_4,06.01.04
38344,47,E_11_19,ce,06.01.01
38345,47,E_11_19,tecpatl,04.04.08
38346,47,E_11_19,matlalin,08.01.08
38347,47,E_11_20,xihuitl_4,06.01.04
38348,47,E_11_20,ce,06.01.01
38349,47,E_11_20,calli,05.01.01
38350,47,E_11_20,matlalin,08.01.08
38351,47,E_12_01,xihuitl_4,06.01.04
38352,47,E_12_01,ce,06.01.01
38353,47,E_12_01,tochtli,02.02.08
38354,47,E_12_01,matlalin,08.01.08
38355,47,E_12_02,matlalin,08.01.08
38356,47,E_12_02,ce,06.01.01
38357,47,E_12_02,xihuitl_4,06.01.04
38358,47,E_12_02,acatl,03.02.05
38359,47,E_12_03,xihuitl_4,06.01.04
38360,47,E_12_03,ce,06.01.01
38361,47,E_12_03,tecpatl,04.04.08
38362,47,E_12_03,matlalin,08.01.08
38363,47,E_12_04,xihuitl_4,06.01.04
38364,47,E_12_04,ce,06.01.01
38365,47,E_12_04,calli,05.01.01
38366,47,E_12_04,matlalin,08.01.08
38367,47,E_12_05,xihuitl_4,06.01.04
38368,47,E_12_05,ce,06.01.01
38369,47,E_12_05,tochtli,02.02.08
38370,47,E_12_05,matlalin,08.01.08
38371,47,E_12_06,xihuitl_4,06.01.04
38372,47,E_12_06,ce,06.01.01
38373,47,E_12_06,acatl,03.02.05
